index,author,cluster_id
0,Anfu_Zhou,0
1,Hongman_Wang,1
2,Xiangling_Fu,1
3,Yang_Liu_0024,-1
4,Pengfei_Wang_0009,4
5,Si-Ya_Xu,1
6,Wenjing_Li_0001,1
7,Chen_Liu_0011,2
8,Xiaomin_Zhu_0002,1
9,Yawen_Wang,1
10,Pei_Zhang_0003,-1
11,Jianfeng_Guan,1
12,Qi_Qi_0001,-1
13,Qiwei_Shen,-1
14,Chuan_Shi,-1
15,Yongping_Xiong,1
16,Haihong_E,1
17,Fanqin_Zhou,1
18,Shuzhuang_Zhang,0
19,Hongliang_Liang,3
20,Linmei_Hu,1
21,Yanhua_Yu,1
22,Yan_Shi_0002,1
23,Haifeng_Sun,3
24,Yuhong_Li,3
25,Dong_Zhao_0001,-1
26,Tiemeng_Li,-1
27,Feng_Qi_0004,-1
28,Rongfeng_Li,-1
29,Jincui_Yang,1
30,Ao_Xiong,1
31,Li_Wang_0039,0
32,Bin_Wu_0001,4
33,Zhili_Wang,1
34,Ding_Xiao,1
35,Yingxia_Shao,1
36,Rongheng_Lin,4
37,Kun_Niu,1
38,Xirong_Que,-1
39,Dahai_Jin,-1
40,Guangwei_Zhang,-1
41,Yuan_Dong,1
42,Shangguang_Wang,1
43,Xiangang_Qin,1
44,Xin_Li_0041,-1
45,Bo_Hu_0003,1
46,Wenhua_Shao,1
47,Junping_Du,1
48,Meilian_Lu,0
49,Wenbin_Yao,3
50,Zhaowen_Lin,-1
51,Liutong_Xu,3
52,Jinglin_Li,-1
53,Shao-Yong_Guo,1
54,Yidong_Cui,-1
55,Yanlei_Shang,0
56,Xuejing_Kang,-1
57,Sujie_Shao,3
58,Anlong_Ming,-1
59,Bai_Wang_0001,4
60,Hui_Gao_0001,0
61,Fangchun_Yang,-1
62,Dongliang_Xie,0
63,Xiangwu_Meng,-1
64,Jingling_Zhao,2
65,Pengrui_Duan,0
66,Wendong_Wang,1
67,Shao-Zhang_Niu,-1
68,Yan_Sun_0004,1
69,Yuyu_Yuan,-1
70,Wenan_Zhou,0
71,Xiang_Cheng_0003,1
72,Songwei_Pei,-1
73,Xiaoyuan_Fu,1
74,Jianxin_Liao,1
75,Tong_Xu_0002,-1
76,Fang_Zhao_0003,1
77,Chong_Gao,4
78,Hai_Huang_0001,1
79,Xiaofeng_Du,4
80,Kun_Xie_0003,-1
81,Yunzhan_Gong,-1
82,Yang_Zhang_0015,-1
83,Changqiao_Xu,1
84,Qiang_Fu_0004,-1
85,Wenming_Guo,4
86,Haoyu_Wang_0001,-1
87,Hongwei_Jia,-1
88,Meina_Song,1
89,Lei_Feng_0001,1
90,Yuchao_Zhang,3
91,Zhengqiu_Yang,2
92,Xiangyang_Gong,0
93,Hua_Zou,3
94,Danfeng_Yan,-1
95,Xiuqin_Lin,4
96,Quan_Yuan_0004,1
97,MeiYu_Liang,4
98,Jingyu_Wang_0001,1
99,Xingquan_Zuo,1
100,Lanlan_Rui,1
101,Lejian_Zhang,3
102,Zhongbao_Zhang,1
103,Xiaoru_Wang,-1
104,Zhonghong_Ou,0
105,Wen-Jun_Hou,4
106,Lirong_Qiu,-1
107,Qibo_Sun,1
108,Hongbo_Wang_0001,0
109,Ying_Wang_0002,0
110,Mengshi_Qi,-1
111,Xuesong_Qiu_0001,1
112,Hong_Luo_0001,1
113,Xianlin_Zhang,-1
114,Huiyuan_Fu,4
115,Feifei_Kou,4
116,Budan_Wu,1
117,Jinpeng_Chen,-1
118,Jiapeng_Xiu,2
119,Kai_Shuang,-1
120,Yonghao_Gu,1
121,Xiaolong_Zheng_0002,0
122,Shujie_Yang,3
123,Xiao-hong_Huang,2
124,Zhipeng_Gao,1
125,Yuanyuan_Zuo,3
